doc_id,Gender,predictions,GT_score,Gender
182,male,0.91342,0.91342,male
656,male,0.88043,0.88043,male
4970,female,0.7939,0.7939,female
1628,male,0.85036,0.85036,male
5072,female,0.79247,0.79247,female
6063,female,0.78013,0.78013,female
2741,male,0.82789,0.82789,male
6204,female,0.77865,0.77865,female
3287,male,0.81833,0.81833,male
7227,female,0.76727,0.76727,female
9361,female,0.74461,0.74461,female
3467,male,0.8156,0.8156,male
10193,female,0.736,0.736,female
3534,male,0.8146,0.8146,male
11017,female,0.72807,0.72807,female
12102,female,0.71779,0.71779,female
3772,male,0.81101,0.81101,male
12672,female,0.71253,0.71253,female
4375,male,0.80184,0.80184,male
12815,female,0.71119,0.71119,female
13549,female,0.70383,0.70383,female
6000,male,0.7807,0.7807,male
13723,female,0.7023,0.7023,female
6680,male,0.77349,0.77349,male
13760,female,0.70192,0.70192,female
15285,female,0.68686,0.68686,female
6911,male,0.77105,0.77105,male
16765,female,0.66788,0.66788,female
7085,male,0.76899,0.76899,male
17508,female,0.65698,0.65698,female
21602,female,0.58321,0.58321,female
7261,male,0.7667,0.7667,male
22020,female,0.57303,0.57303,female
7445,male,0.76478,0.76478,male
23236,female,0.5365,0.5365,female
23381,female,0.531,0.531,female
7790,male,0.7612,0.7612,male
23506,female,0.52694,0.52694,female
7935,male,0.75962,0.75962,male
24487,female,0.48506,0.48506,female
24565,female,0.4809,0.4809,female
8240,male,0.75642,0.75642,male
26074,female,0.36587,0.36587,female
9217,male,0.74619,0.74619,male
9646,male,0.74184,0.74184,male
10310,male,0.73486,0.73486,male
13797,male,0.70149,0.70149,male
14009,male,0.69948,0.69948,male
14178,male,0.6979,0.6979,male
24798,male,0.4689,0.4689,male
