doc_id,Gender,score
1,male,0.99278
2,male,0.89587
3,male,0.89038
4,male,0.88478
5,male,0.87274
6,male,0.87269
7,male,0.82316
8,female,0.82278
9,male,0.81737
10,male,0.80442
11,female,0.80341
12,male,0.79715
13,male,0.78826
14,female,0.78157
15,male,0.77592
16,female,0.76832
17,male,0.76168
18,female,0.75675
19,male,0.75589
20,male,0.75465
21,female,0.75259
22,female,0.74987
23,male,0.74953
24,male,0.74327
25,male,0.74112
26,female,0.73247
27,male,0.73027
28,female,0.72486
29,female,0.72137
30,male,0.71463
31,female,0.71224
32,male,0.70952
33,female,0.7023
34,female,0.69011
35,male,0.66879
36,female,0.66104
37,female,0.65664
38,female,0.65497
39,female,0.65115
40,female,0.62523
41,female,0.60687
42,female,0.58603
43,female,0.54496
44,female,0.52288
45,male,0.52245
46,male,0.4755
47,female,0.47445
48,female,0.47206
49,female,0.43921
50,male,0.38734
