Run,Kendall Tau,NDKL,Average Exposure
0,0.8710204081632653,0.05732008734183922,0.9195884693099869
1,0.7942857142857143,0.05758039466487416,0.9263123131461821
2,0.9918367346938776,0.060933739408010994,0.90553629085542
3,0.9526530612244898,0.10310484248622494,0.8927810226757037
4,0.8579591836734693,0.0968907545775784,0.9013276559870544
5,0.773061224489796,0.06295519613411281,0.9803005598632755
6,0.7779591836734694,0.09713798167910884,0.8737299474516521
7,0.9738775510204082,0.12524650239259313,0.7879035083234521
8,0.9363265306122449,0.058433407955963725,0.9150673990628009
9,0.7126530612244898,0.0955533478249342,0.8768092682104386
