doc_id,Gender,predictions,GT_score,Gender
229,male,0.90649,0.90649,male
284,male,0.90195,0.90195,male
4561,female,0.7994,0.7994,female
343,male,0.89745,0.89745,male
4946,female,0.79423,0.79423,female
6497,female,0.7754,0.7754,female
357,male,0.89673,0.89673,male
6820,female,0.77186,0.77186,female
496,male,0.88822,0.88822,male
6913,female,0.77105,0.77105,female
6956,female,0.77052,0.77052,female
666,male,0.87981,0.87981,male
7097,female,0.76885,0.76885,female
702,male,0.87823,0.87823,male
7420,female,0.76498,0.76498,female
8948,female,0.7491,0.7491,female
722,male,0.87709,0.87709,male
9810,female,0.74016,0.74016,female
900,male,0.86991,0.86991,male
10396,female,0.73414,0.73414,female
10798,female,0.73003,0.73003,female
1040,male,0.86528,0.86528,male
10998,female,0.72816,0.72816,female
2058,male,0.84061,0.84061,male
11412,female,0.72439,0.72439,female
14022,female,0.69938,0.69938,female
2186,male,0.83774,0.83774,male
14092,female,0.69876,0.69876,female
2937,male,0.82483,0.82483,male
14254,female,0.69723,0.69723,female
14344,female,0.69632,0.69632,female
2983,male,0.82411,0.82411,male
14405,female,0.69565,0.69565,female
3023,male,0.8234,0.8234,male
15037,female,0.68939,0.68939,female
15650,female,0.68308,0.68308,female
4297,male,0.80313,0.80313,male
15804,female,0.68117,0.68117,female
4472,male,0.80045,0.80045,male
15834,female,0.68074,0.68074,female
15900,female,0.67973,0.67973,female
4754,male,0.79677,0.79677,male
15999,female,0.6783,0.6783,female
5823,male,0.78262,0.78262,male
16502,female,0.67161,0.67161,female
16986,female,0.66501,0.66501,female
7621,male,0.76297,0.76297,male
17874,female,0.65181,0.65181,female
8965,male,0.74891,0.74891,male
17901,female,0.65143,0.65143,female
18073,female,0.64895,0.64895,female
8994,male,0.74863,0.74863,male
18453,female,0.64307,0.64307,female
9046,male,0.7481,0.7481,male
18456,female,0.64302,0.64302,female
19172,female,0.63183,0.63183,female
9409,male,0.74408,0.74408,male
19182,female,0.63173,0.63173,female
10083,male,0.7372,0.7372,male
22386,female,0.56213,0.56213,female
22460,female,0.55998,0.55998,female
10572,male,0.73223,0.73223,male
23153,female,0.53937,0.53937,female
10981,male,0.72831,0.72831,male
23406,female,0.53019,0.53019,female
23903,female,0.51274,0.51274,female
11011,male,0.72807,0.72807,male
23987,female,0.50892,0.50892,female
13162,male,0.70785,0.70785,male
24215,female,0.49888,0.49888,female
24334,female,0.49328,0.49328,female
13258,male,0.70684,0.70684,male
25624,female,0.41354,0.41354,female
13526,male,0.70407,0.70407,male
25696,female,0.40785,0.40785,female
25738,female,0.40307,0.40307,female
15835,male,0.68074,0.68074,male
25742,female,0.40269,0.40269,female
16350,male,0.67338,0.67338,male
25805,female,0.39657,0.39657,female
25892,female,0.38734,0.38734,female
16483,male,0.67185,0.67185,male
25989,female,0.37472,0.37472,female
17194,male,0.66166,0.66166,male
26028,female,0.37075,0.37075,female
17429,male,0.65827,0.65827,male
18350,male,0.64445,0.64445,male
18558,male,0.64144,0.64144,male
18691,male,0.6391,0.6391,male
19207,male,0.63135,0.63135,male
20170,male,0.61438,0.61438,male
20924,male,0.59908,0.59908,male
21126,male,0.59511,0.59511,male
21682,male,0.58149,0.58149,male
22345,male,0.5637,0.5637,male
23071,male,0.54205,0.54205,male
24816,male,0.46794,0.46794,male
25203,male,0.4438,0.4438,male
25918,male,0.38395,0.38395,male
26245,male,0.34489,0.34489,male
