Run,Kendall Tau,NDKL,Average Exposure
0,0.4873469387755102,0.27963628481356717,1.3215494013076847
1,0.4791836734693877,0.27963628481356717,1.3215494013076847
2,0.4906122448979592,0.27963628481356717,1.3215494013076847
3,0.41061224489795917,0.25925993817259985,1.292833269949037
4,0.516734693877551,0.27963628481356717,0.6726091248613857
5,0.9689795918367347,0.06103351091546666,0.8995153498394369
6,0.5053061224489795,0.27963628481356717,1.3215494013076847
7,0.9983673469387755,0.07637662656378992,1.0121075286878665
8,0.5085714285714286,0.27963628481356717,1.3215494013076847
9,0.5836734693877551,0.4825566388577989,1.7062151958700034
