Sample,Kendall Tau
1,
10,
11,-0.047619047619047616
12,0.7142857142857143
13,
14,-0.7142857142857143
15,
16,-0.14285714285714285
17,
18,-0.047619047619047616
19,
2,0.5238095238095238
20,
21,
22,0.14285714285714285
23,
24,0.23809523809523808
25,
26,0.047619047619047616
27,
28,0.3333333333333333
29,
3,
30,
31,
32,
33,
34,0.42857142857142855
35,-0.23809523809523808
36,
37,0.5238095238095238
38,
39,
4,-0.3333333333333333
40,
41,
42,-0.3333333333333333
43,
44,
45,
46,
47,0.23809523809523808
48,
49,
5,-0.6190476190476191
50,
6,
7,-0.42857142857142855
8,
9,
