doc_id,Gender,score
1,male,0.99278
2,male,0.86399
3,male,0.83956
4,male,0.81154
5,male,0.80313
6,male,0.78348
7,male,0.78338
8,male,0.77573
9,male,0.77119
10,female,0.7711
11,male,0.77019
12,male,0.76646
13,female,0.75532
14,female,0.75345
15,male,0.75345
16,female,0.74184
17,male,0.74136
18,female,0.73973
19,female,0.73127
20,female,0.73055
21,male,0.72945
22,male,0.72879
23,male,0.72702
24,female,0.72601
25,female,0.70373
26,male,0.70244
27,female,0.69828
28,male,0.69532
29,female,0.69307
30,male,0.68729
31,male,0.68423
32,female,0.68413
33,female,0.68007
34,male,0.67218
35,female,0.67041
36,female,0.66314
37,female,0.66214
38,female,0.65856
39,female,0.63255
40,female,0.62767
41,female,0.6162
42,female,0.579
43,female,0.57633
44,female,0.5551
45,male,0.54506
46,male,0.47196
47,female,0.44667
48,male,0.38509
49,female,0.38022
50,male,0.32533
