Sample,Kendall Tau
1,0.6666666666666666
10,0.3333333333333333
11,0.0
12,1.0
13,0.6666666666666666
14,0.0
15,1.0
16,0.0
17,-0.3333333333333333
18,1.0
19,-0.3333333333333333
2,0.3333333333333333
20,-0.3333333333333333
21,-0.6666666666666666
22,0.3333333333333333
23,0.3333333333333333
24,-0.3333333333333333
25,-0.6666666666666666
26,0.0
27,0.0
28,-0.3333333333333333
29,-0.3333333333333333
3,0.3333333333333333
30,0.3333333333333333
31,0.6666666666666666
32,-1.0
33,0.3333333333333333
34,0.0
35,1.0
36,0.6666666666666666
37,0.6666666666666666
38,0.3333333333333333
39,0.3333333333333333
4,-0.3333333333333333
40,0.6666666666666666
41,0.3333333333333333
42,0.3333333333333333
43,0.0
44,0.3333333333333333
45,0.6666666666666666
46,1.0
47,-0.3333333333333333
48,0.0
49,0.3333333333333333
5,0.0
50,-1.0
6,-0.3333333333333333
7,-1.0
8,0.6666666666666666
9,0.0
