Run,Kendall Tau,NDKL,Average Exposure
0,0.8040816326530612,0.05730388116982942,0.9172683139388251
1,0.689795918367347,0.09680972001340866,0.8924234195364287
2,0.7240816326530612,0.06658832912150876,1.0285629617845584
3,0.756734693877551,0.0956036924128358,0.8707834058935765
4,0.773061224489796,0.05727869352456925,0.9413261839559001
5,0.92,0.06297353158818805,0.9135799274991967
6,0.8775510204081632,0.06428849599944524,0.9763197652898961
7,0.8416326530612245,0.09623803588102034,0.8940041948185002
8,0.6522448979591837,0.09898393118743391,0.9079447815775112
9,0.8253061224489796,0.0992605518793447,0.9091106750911558
