Run,Kendall Tau,NDKL,Average Exposure
0,0.3110204081632653,0.27963628481356717,1.3215494013076847
1,0.2506122448979592,0.4825566388577989,1.7062151958700034
2,0.4057142857142857,0.20722912653181239,1.205629435042602
3,0.763265306122449,0.05729189082439874,0.9177849274539859
4,0.32571428571428573,0.27963628481356717,1.3215494013076847
5,0.43510204081632653,0.27963628481356717,1.3215494013076847
6,0.7355102040816327,0.08075011153330072,1.033208195457719
7,0.8824489795918368,0.0574977828973061,0.9237326038622655
8,1.0,0.2862966235618108,0.6782265376662042
9,0.9085714285714286,0.05730809699640855,0.9183286309033901
