Run,Kendall Tau,NDKL,Average Exposure
0,0.8073469387755102,0.09539393777155332,0.8585519359727329
1,0.9983673469387755,0.0985885645637099,0.8496962343515764
2,0.92,0.09954575135745208,0.8976732804877495
3,0.996734693877551,0.09443432762402018,0.9195120825699362
4,0.7420408163265306,0.0641965466502977,1.0031905794024802
5,0.8808163265306123,0.07526944051559906,0.9459711020633029
6,0.9738775510204082,0.0650268025214835,0.9128323360444289
7,0.986938775510204,0.09342726987744573,1.067775630068142
8,0.9738775510204082,0.06743052492619182,0.8849992207173398
9,0.8416326530612245,0.07718439591783245,1.0336523185525344
