Run,Kendall Tau,NDKL,Average Exposure
0,0.8742857142857143,0.05756899554182602,0.9243395732604144
1,0.8040816326530612,0.05727869352456925,0.941326738540338
2,0.7763265306122449,0.10920455747068894,0.9910485933155331
3,0.8987755102040816,0.10456744248450159,0.9296921704133568
4,0.856326530612245,0.09690885173964342,0.9016650079341719
5,0.8367346938775511,0.05846075582054761,0.9454152106829705
6,0.6979591836734694,0.09745498927730381,0.9014637710283263
7,0.8171428571428572,0.09611797938111666,0.8797948115483645
8,0.8514285714285714,0.05944238293481002,0.9624827288679838
9,0.7126530612244898,0.0955533478249342,0.8768092682104386
