,doc_id,Gender,predictions,GT_score,Gender.1
0,1455,male,16797,16797,male
1,2153,male,13980,13980,male
2,885,male,13845,13845,male
3,2729,male,12558,12558,male
4,1160,male,12503,12503,male
5,3094,male,9149,9149,male
6,2783,male,6478,6478,male
7,1356,male,5763,5763,male
8,133,male,4639,4639,male
9,1996,male,4618,4618,male
10,1054,male,4064,4064,male
11,3773,female,3723,3723,female
12,176,male,2794,2794,male
13,1184,male,2320,2320,male
14,3984,female,2032,2032,female
15,2457,male,1998,1998,male
16,3587,male,1896,1896,male
17,4029,female,920,920,female
18,2262,male,911,911,male
19,4161,female,901,901,female
20,4205,female,648,648,female
21,4055,female,520,520,female
22,4122,female,492,492,female
23,3870,female,486,486,female
24,4224,female,423,423,female
25,4214,female,344,344,female
26,4171,female,312,312,female
27,4090,female,289,289,female
28,4414,female,149,149,female
29,4223,female,137,137,female
30,3601,male,132,132,male
31,4407,female,127,127,female
32,3138,male,126,126,male
33,1719,male,86,86,male
34,4699,female,56,56,female
35,1323,male,46,46,male
36,4476,female,32,32,female
37,4387,female,22,22,female
38,4485,female,20,20,female
39,4497,female,17,17,female
40,4354,female,16,16,female
41,4646,female,14,14,female
42,4513,female,11,11,female
43,3197,male,10,10,male
44,1973,male,9,9,male
45,4618,female,6,6,female
46,3617,male,6,6,male
47,2029,male,6,6,male
48,4545,female,3,3,female
49,2413,male,3,3,male
