Sample,Kendall Tau
1,
10,0.14285714285714285
11,0.047619047619047616
12,0.5238095238095238
13,0.7142857142857143
14,
15,
16,-0.3333333333333333
17,0.3333333333333333
18,
19,
2,-0.047619047619047616
20,
21,-0.14285714285714285
22,-0.3333333333333333
23,
24,0.14285714285714285
25,
26,-0.23809523809523808
27,
28,0.23809523809523808
29,0.6190476190476191
3,0.047619047619047616
30,
31,
32,-0.6190476190476191
33,
34,0.42857142857142855
35,-0.23809523809523808
36,0.7142857142857143
37,0.9047619047619048
38,
39,
4,-0.14285714285714285
40,0.42857142857142855
41,
42,
43,
44,
45,-0.047619047619047616
46,
47,0.3333333333333333
48,
49,
5,
50,-0.047619047619047616
6,
7,-0.42857142857142855
8,0.3333333333333333
9,
