doc_id,Gender,predictions,GT_score,Gender
94,male,0.92814,0.92814,male
420,male,0.89267,0.89267,male
2032,female,0.84118,0.84118,female
552,male,0.88545,0.88545,male
3322,female,0.8178,0.8178,female
3633,female,0.81302,0.81302,female
627,male,0.88191,0.88191,male
4882,female,0.7949,0.7949,female
664,male,0.87995,0.87995,male
5946,female,0.78137,0.78137,female
6184,female,0.77884,0.77884,female
976,male,0.86714,0.86714,male
6180,female,0.77884,0.77884,female
1171,male,0.8616,0.8616,male
8798,female,0.75063,0.75063,female
9294,female,0.74537,0.74537,female
1217,male,0.86054,0.86054,male
9301,female,0.74523,0.74523,female
1391,male,0.85696,0.85696,male
9451,female,0.7438,0.7438,female
9652,female,0.74179,0.74179,female
2847,male,0.82641,0.82641,male
9910,female,0.73911,0.73911,female
3443,male,0.81599,0.81599,male
9967,female,0.73859,0.73859,female
11052,female,0.72773,0.72773,female
4206,male,0.80437,0.80437,male
12533,female,0.71396,0.71396,female
4266,male,0.80351,0.80351,male
12801,female,0.71124,0.71124,female
13129,female,0.70818,0.70818,female
4389,male,0.80169,0.80169,male
13262,female,0.70679,0.70679,female
4650,male,0.79811,0.79811,male
13326,female,0.70612,0.70612,female
13525,female,0.70407,0.70407,female
5033,male,0.79309,0.79309,male
13742,female,0.70211,0.70211,female
5240,male,0.79017,0.79017,male
14516,female,0.69446,0.69446,female
14751,female,0.69216,0.69216,female
5444,male,0.7874,0.7874,male
15299,female,0.68676,0.68676,female
6011,male,0.78061,0.78061,male
15540,female,0.68428,0.68428,female
16977,female,0.6651,0.6651,female
6233,male,0.77836,0.77836,male
17753,female,0.65339,0.65339,female
6922,male,0.77095,0.77095,male
17934,female,0.65091,0.65091,female
19133,female,0.63231,0.63231,female
7288,male,0.76636,0.76636,male
19135,female,0.63226,0.63226,female
7856,male,0.76058,0.76058,male
20383,female,0.61008,0.61008,female
20758,female,0.60257,0.60257,female
8100,male,0.7579,0.7579,male
20788,female,0.60195,0.60195,female
8243,male,0.75637,0.75637,male
20955,female,0.59856,0.59856,female
21357,female,0.58914,0.58914,female
9497,male,0.74332,0.74332,male
21429,female,0.58746,0.58746,female
10742,male,0.73065,0.73065,male
22054,female,0.57221,0.57221,female
22358,female,0.56332,0.56332,female
12093,male,0.71788,0.71788,male
22799,female,0.55051,0.55051,female
12263,male,0.7164,0.7164,male
22979,female,0.54482,0.54482,female
23397,female,0.53053,0.53053,female
13093,male,0.70851,0.70851,male
23794,female,0.51657,0.51657,female
14209,male,0.69761,0.69761,male
24152,female,0.50184,0.50184,female
24323,female,0.49371,0.49371,female
14798,male,0.69159,0.69159,male
24368,female,0.49209,0.49209,female
15819,male,0.68093,0.68093,male
24750,female,0.47167,0.47167,female
25162,female,0.44614,0.44614,female
15842,male,0.68059,0.68059,male
25307,female,0.43706,0.43706,female
16708,male,0.66859,0.66859,male
25377,female,0.43319,0.43319,female
17086,male,0.66329,0.66329,male
17163,male,0.66209,0.66209,male
17342,male,0.65942,0.65942,male
18400,male,0.64388,0.64388,male
18885,male,0.63613,0.63613,male
18958,male,0.63489,0.63489,male
19385,male,0.62858,0.62858,male
21088,male,0.59602,0.59602,male
22257,male,0.56652,0.56652,male
22529,male,0.55758,0.55758,male
22831,male,0.54936,0.54936,male
23710,male,0.51948,0.51948,male
23860,male,0.51446,0.51446,male
25287,male,0.43816,0.43816,male
25962,male,0.37888,0.37888,male
