Run,Kendall Tau,NDKL,Average Exposure
0,0.9314285714285714,0.06191916864050641,0.8947106834496291
1,0.8253061224489796,0.05745852030657047,0.9203357868526412
2,0.8791836734693877,0.06850601474862614,1.0196493768465582
3,0.9526530612244898,0.10310484248622494,0.8927810226757037
4,0.8546938775510204,0.09689964595453392,0.9012989956792604
5,0.986938775510204,0.10874333131062763,0.8227225460889691
6,0.7502040816326531,0.0579227675900913,0.9417270537435428
7,0.9820408163265306,0.1316164194475357,0.7876316730308642
8,0.9395918367346939,0.09670806225632866,0.866632825173019
9,0.7126530612244898,0.0955533478249342,0.8768092682104386
