Run,Kendall Tau,NDKL,Average Exposure
0,0.8008163265306123,0.05727869352456925,0.9178096536326554
1,0.7028571428571428,0.09694444326175736,0.8922837105977064
2,0.7208163265306122,0.06838396428881553,1.0342975866408302
3,0.7502040816326531,0.09968939942695837,0.847198901718374
4,0.756734693877551,0.09681320408746374,0.9003051558230151
5,0.9248979591836735,0.06311781618437133,0.9317256007454388
6,0.8269387755102041,0.06784662272353699,1.006662160604468
7,0.8204081632653061,0.09742699845932888,0.9041966257769466
8,0.7191836734693877,0.097380976557356,0.9052996897288917
9,0.8759183673469387,0.09574842612596882,0.8863938659339238
