Sample,Kendall Tau
1,0.3333333333333333
10,0.3333333333333333
11,0.3333333333333333
12,0.3333333333333333
13,1.0
14,0.3333333333333333
15,0.3333333333333333
16,-0.3333333333333333
17,0.3333333333333333
18,0.3333333333333333
19,-0.3333333333333333
2,0.3333333333333333
20,-0.3333333333333333
21,0.3333333333333333
22,-0.3333333333333333
23,-0.3333333333333333
24,0.3333333333333333
25,0.3333333333333333
26,1.0
27,1.0
28,-0.3333333333333333
29,1.0
3,1.0
30,1.0
31,-0.3333333333333333
32,-1.0
33,1.0
34,0.3333333333333333
35,0.3333333333333333
36,0.3333333333333333
37,1.0
38,1.0
39,0.3333333333333333
4,-0.3333333333333333
40,0.3333333333333333
41,0.3333333333333333
42,0.3333333333333333
43,-1.0
44,1.0
45,0.3333333333333333
46,-0.3333333333333333
47,-0.3333333333333333
48,0.3333333333333333
49,0.3333333333333333
5,0.3333333333333333
50,-0.3333333333333333
6,
7,-1.0
8,0.3333333333333333
9,-0.3333333333333333
