doc_id,Gender,score
200,male,0.91079
550,male,0.88555
1201,male,0.86083
1552,male,0.8528
1806,male,0.84615
2561,male,0.83043
2704,male,0.82832
8053,female,0.75833
9111,female,0.74733
9119,male,0.74729
10070,female,0.7373
10450,female,0.73347
10863,female,0.72936
12669,male,0.71263
12866,female,0.71067
14884,female,0.69083
15101,male,0.68872
16118,female,0.67677
16941,female,0.66554
17881,female,0.65167
18158,male,0.64785
19163,female,0.63193
19226,male,0.63111
20767,female,0.60248
21440,male,0.58708
22611,female,0.55548
24295,male,0.49481
24500,female,0.48453
24665,male,0.47579
25930,female,0.38242
