Run,Kendall Tau,NDKL,Average Exposure
0,0.8008163265306123,0.05727869352456925,0.9178096536326554
1,0.7061224489795919,0.09698525163486861,0.8923854705669702
2,0.7208163265306122,0.06838396428881553,1.0342975866408302
3,0.7453061224489796,0.0956036924128358,0.8734117324385486
4,0.7795918367346939,0.05727869352456925,0.9419819433584758
5,0.833469387755102,0.06288084912717645,1.0104118972074396
6,0.8710204081632653,0.06295275941302647,0.9865321715267463
7,0.8677551020408163,0.05733489971243972,0.9374457499189619
8,0.7502040816326531,0.09591929161820424,0.8865686773976723
9,0.8971428571428571,0.095935487023707,0.881687308675164
