Run,Kendall Tau,NDKL,Average Exposure
0,0.8481632653061224,0.06550270641407402,0.8821492935778451
1,0.9657142857142857,0.05929966159436685,0.9079164833432767
2,0.7306122448979592,0.07505173618281795,0.8944209454207473
3,0.8742857142857143,0.06317761642739673,1.05032770538605
4,0.8987755102040816,0.06166847679332586,1.0454964033209642
5,0.8938775510204081,0.06673731579575752,1.023213802479459
6,0.8579591836734693,0.05727869352456925,0.9178096536326554
7,0.769795918367347,0.13185054514786515,0.820475135105087
8,0.9951020408163266,0.1367337541291248,0.7666579440154215
9,0.9542857142857143,0.058122777610510684,0.9337582348577802
