Run,Kendall Tau,NDKL,Average Exposure
0,0.7551020408163265,0.1610234774647599,0.7832004634499836
1,0.8906122448979592,0.09268378582404312,0.9045164270538301
2,0.6636734693877551,0.09763528977513618,0.8694608825138435
3,0.7502040816326531,0.12816380757924148,0.8500935733999901
4,0.9575510204081633,0.06421255507107677,0.9757763100842527
5,0.9624489795918367,0.06961599185571113,0.8683391692419122
6,0.9314285714285714,0.06886844736453554,0.9109344940227069
7,0.9934693877551021,0.11028326093396147,0.9718315615270331
8,0.9706122448979592,0.14951485875867462,0.8148178555574301
9,0.6277551020408163,0.05856081562154176,0.9265665347914361
