doc_id,Gender,score
243,male,0.90534
291,male,0.90166
676,male,0.87924
931,male,0.86896
1207,male,0.86074
1392,male,0.85696
1524,male,0.85361
1575,male,0.85199
1656,male,0.84979
2113,male,0.83932
2525,male,0.83114
3523,male,0.81479
3727,male,0.81178
3856,male,0.80958
4373,female,0.80188
4411,male,0.80131
4618,male,0.79849
4688,female,0.79768
4771,female,0.79653
5611,male,0.78525
6003,male,0.78061
7095,male,0.76885
7359,female,0.76574
7543,male,0.76388
7764,male,0.76153
7819,male,0.76086
7937,female,0.75962
8054,female,0.75833
8055,male,0.75828
8126,female,0.75757
8192,female,0.75694
8314,male,0.75556
8348,male,0.75522
8370,female,0.75508
8482,female,0.75384
8696,female,0.75159
9347,male,0.74475
9921,female,0.73902
9927,male,0.73897
10802,male,0.72998
10878,female,0.72926
11008,male,0.72807
11876,male,0.7197
11925,female,0.71932
12008,female,0.71855
12116,female,0.71769
12300,male,0.71616
12306,female,0.71612
12876,female,0.71062
13327,female,0.70612
13469,female,0.7045
13490,male,0.7044
13546,male,0.70383
13655,female,0.70297
13675,female,0.70278
13741,female,0.70211
13942,male,0.7001
14003,female,0.69953
14397,female,0.6957
14514,female,0.69451
14860,male,0.69106
15112,female,0.68863
15111,female,0.68863
15540,female,0.68428
15590,male,0.6838
16041,female,0.67773
16206,female,0.67548
16465,male,0.67199
16639,female,0.6696
17000,female,0.66472
17143,female,0.66252
17170,female,0.66195
17312,female,0.65985
17665,female,0.65468
17755,female,0.65339
17840,female,0.6522
18307,male,0.64512
20179,male,0.61414
20465,male,0.60845
20707,male,0.60367
20800,male,0.60166
21809,female,0.57843
21835,female,0.57781
21975,male,0.57403
22104,male,0.57073
22441,male,0.56036
22501,female,0.55859
22918,female,0.54692
22946,female,0.54606
23649,female,0.52154
23901,female,0.51284
23920,female,0.51174
24123,male,0.50356
24262,male,0.49625
24803,female,0.46847
24990,male,0.45738
25393,male,0.43223
25412,male,0.4307
26136,female,0.35861
26334,female,0.32897
