Sample,Kendall Tau
1,
10,
11,
12,
13,
14,0.0
15,0.3888888888888889
16,-0.2777777777777778
17,0.2222222222222222
18,
19,
2,
20,
21,
22,0.6111111111111112
23,0.05555555555555555
24,
25,0.05555555555555555
26,
27,-0.05555555555555555
29,0.3333333333333333
3,
30,
31,
32,
33,0.5555555555555556
34,0.16666666666666666
35,
36,0.6111111111111112
37,
38,
39,
4,-0.2222222222222222
40,
41,
42,
43,
44,0.5555555555555556
45,0.05555555555555555
46,
47,0.4444444444444444
48,
49,
5,
50,
6,
7,-0.3888888888888889
8,
9,
