Sample,Kendall Tau
1,1.0
10,1.0
11,-0.3333333333333333
12,1.0
13,1.0
14,0.3333333333333333
15,0.3333333333333333
16,-0.3333333333333333
17,-0.3333333333333333
18,1.0
19,1.0
2,0.3333333333333333
20,-0.3333333333333333
21,-0.3333333333333333
22,1.0
23,0.3333333333333333
24,0.3333333333333333
25,-0.3333333333333333
26,0.3333333333333333
27,0.3333333333333333
28,-0.3333333333333333
29,-0.3333333333333333
3,1.0
30,1.0
31,-0.3333333333333333
32,-1.0
33,1.0
34,0.3333333333333333
35,1.0
36,0.3333333333333333
37,0.3333333333333333
38,1.0
39,0.3333333333333333
4,-0.3333333333333333
40,1.0
41,0.3333333333333333
42,1.0
43,-1.0
44,
45,0.3333333333333333
46,0.3333333333333333
47,-1.0
48,-0.3333333333333333
49,0.3333333333333333
5,0.3333333333333333
50,-0.3333333333333333
6,-0.3333333333333333
7,-1.0
8,1.0
9,-0.3333333333333333
