doc_id,Gender,predictions,GT_score,Gender
1540,male,0.85318,0.85318,male
2639,male,0.82918,0.82918,male
5912,female,0.78171,0.78171,female
7188,female,0.76775,0.76775,female
2864,male,0.82612,0.82612,male
8606,female,0.75245,0.75245,female
10014,female,0.73811,0.73811,female
5177,male,0.79103,0.79103,male
11034,female,0.72788,0.72788,female
12673,female,0.71253,0.71253,female
13408,female,0.70526,0.70526,female
6807,male,0.77196,0.77196,male
14531,female,0.69432,0.69432,female
15011,female,0.68958,0.68958,female
6990,male,0.77009,0.77009,male
15085,female,0.68891,0.68891,female
15359,female,0.68609,0.68609,female
7075,male,0.76904,0.76904,male
16060,female,0.67749,0.67749,female
24799,female,0.46881,0.46881,female
26078,female,0.3654,0.3654,female
7134,male,0.76837,0.76837,male
26333,female,0.3293,0.3293,female
7288,male,0.76636,0.76636,male
7816,male,0.76091,0.76091,male
10906,male,0.72898,0.72898,male
11912,male,0.71937,0.71937,male
19213,male,0.6313,0.6313,male
21138,male,0.59468,0.59468,male
24555,male,0.48143,0.48143,male
