doc_id,Gender,score
1,male,0.99278
2,male,0.88359
3,male,0.8233
4,female,0.82043
5,female,0.81809
6,male,0.81776
7,male,0.81532
8,male,0.81149
9,female,0.81011
10,male,0.79476
11,male,0.77635
12,male,0.77516
13,female,0.77067
14,female,0.76416
15,female,0.7622
16,female,0.75565
17,female,0.75288
18,female,0.75183
19,female,0.74643
20,female,0.74255
21,male,0.74217
22,male,0.72338
23,female,0.71607
24,female,0.71487
25,male,0.70545
26,female,0.69642
27,male,0.69632
28,female,0.6947
29,female,0.68839
30,female,0.68189
31,male,0.67242
32,male,0.66735
33,male,0.65994
34,female,0.65248
35,female,0.64966
36,male,0.63919
37,male,0.63695
38,male,0.63288
39,male,0.6042
40,female,0.59225
41,male,0.54998
42,female,0.52751
43,male,0.52527
44,male,0.52187
45,female,0.48477
46,female,0.4634
47,female,0.44184
48,female,0.41865
49,male,0.32046
50,male,0.18951
