doc_id,Gender,Career Points
1,male,19760
2,male,15291
3,male,13572
4,female,9693
5,male,8437
6,female,6811
7,female,4323
8,male,4319
9,male,4195
10,male,3864
11,male,3088
12,male,2355
13,male,2327
14,male,2255
15,female,2232
16,male,2215
17,male,2118
18,male,2110
19,male,2085
20,male,1635
21,female,1458
22,female,763
23,female,633
24,male,598
25,male,578
26,female,509
27,female,387
28,female,353
29,female,349
30,female,304
31,female,272
32,female,272
33,female,240
34,female,217
35,male,168
36,male,150
37,female,149
38,male,144
39,male,140
40,female,121
41,female,93
42,male,74
43,female,62
44,male,43
45,female,35
46,female,29
47,female,24
48,female,22
49,female,10
50,male,4
