Run,Kendall Tau,NDKL,Average Exposure
0,0.8008163265306123,0.05727869352456925,0.9178096536326554
1,0.7012244897959183,0.09651170961171436,0.8896358817383359
2,0.7028571428571428,0.06925739448689298,1.038812961201691
3,0.6751020408163265,0.09642217998080395,0.8978457481682466
4,0.7795918367346939,0.05727869352456925,0.9419819433584758
5,0.8857142857142857,0.06464375965046493,0.9482272244910126
6,0.8742857142857143,0.1014746918466689,0.9139839979019826
7,0.8351020408163266,0.09602628540999121,0.8927773437429077
8,0.7175510204081633,0.09691774311659895,0.901636337455174
9,0.8416326530612245,0.09850944256362035,0.9043168755195747
