doc_id,Gender,Career Points
509,male,17490
731,male,14018
914,male,10537
1482,male,10399
3357,male,9538
896,male,8953
1456,male,8384
1047,male,8049
1218,male,6684
2080,male,5946
1037,male,5612
2982,male,4637
3405,male,3013
3796,female,2898
3909,female,2603
326,male,2206
3833,female,1963
3986,female,1358
4007,female,1215
4016,female,1010
1716,male,932
1167,male,856
3252,male,645
163,male,641
4173,female,620
4099,female,558
1017,male,370
285,male,337
4484,female,324
4112,female,303
4150,female,253
4222,female,247
1296,male,240
3402,male,233
1999,male,198
4174,female,92
4680,female,85
1214,male,82
4298,female,74
4708,female,73
4438,female,50
4392,female,50
4648,female,49
4435,female,48
4454,female,33
3635,male,23
4495,female,16
4445,female,14
4579,female,12
4504,female,9
