doc_id,Gender,score
1,female,0.96204
2,male,0.95745
3,male,0.91428
4,male,0.88555
5,male,0.87766
6,male,0.86566
7,male,0.85117
8,male,0.8506
9,male,0.84878
10,female,0.8321
11,female,0.82856
12,male,0.82416
13,female,0.81972
14,male,0.81637
15,male,0.81226
16,female,0.81097
17,male,0.80839
18,female,0.80647
19,male,0.80638
20,male,0.80413
21,male,0.80107
22,male,0.79433
23,male,0.79309
24,female,0.79031
25,female,0.79022
26,female,0.78826
27,male,0.77999
28,male,0.76579
29,male,0.76512
30,female,0.76335
31,male,0.76302
32,male,0.76177
33,female,0.75871
34,female,0.75728
35,female,0.75565
36,female,0.75322
37,female,0.7492
38,female,0.74456
39,male,0.73997
40,female,0.7393
41,female,0.73854
42,female,0.73667
43,male,0.73624
44,female,0.73529
45,female,0.73323
46,female,0.73127
47,male,0.72907
48,female,0.72749
49,male,0.72668
50,female,0.72353
51,male,0.72114
52,female,0.7153
53,female,0.71497
54,male,0.71
55,female,0.70531
56,male,0.70259
57,female,0.70139
58,male,0.7013
59,male,0.69346
60,male,0.69193
61,male,0.68987
62,female,0.68633
63,female,0.68279
64,female,0.68165
65,female,0.6815
66,male,0.68112
67,female,0.68074
68,male,0.66879
69,female,0.6674
70,female,0.66195
71,female,0.65899
72,male,0.65741
73,male,0.64766
74,male,0.64364
75,female,0.64005
76,female,0.63178
77,female,0.6303
78,male,0.62992
79,male,0.62652
80,male,0.61342
81,male,0.61309
82,female,0.61166
83,female,0.60831
84,male,0.60104
85,female,0.58608
86,female,0.58297
87,male,0.57121
88,female,0.55094
89,male,0.54563
90,female,0.53975
91,female,0.53588
92,female,0.51891
93,male,0.51752
94,female,0.45771
95,male,0.45346
96,male,0.44438
97,male,0.43429
98,female,0.41416
99,male,0.39901
100,female,0.3784
