doc_id,Gender,score
1,male,0.95745
2,male,0.87618
3,male,0.87278
4,male,0.87235
5,male,0.87101
6,male,0.86881
7,male,0.86188
8,male,0.84821
9,male,0.83922
10,male,0.82239
11,male,0.82015
12,male,0.81733
13,male,0.8157
14,male,0.80824
15,male,0.80796
16,male,0.80203
17,male,0.80002
18,female,0.79342
19,male,0.79247
20,male,0.79204
21,male,0.78984
22,male,0.78553
23,female,0.77138
24,male,0.77071
25,male,0.76579
26,male,0.76407
27,female,0.75938
28,female,0.7568
29,male,0.75561
30,female,0.75336
31,female,0.74676
32,female,0.74662
33,male,0.74609
34,male,0.7459
35,female,0.7449
36,female,0.74427
37,male,0.74079
38,female,0.73691
39,female,0.73629
40,male,0.73314
41,female,0.73218
42,male,0.72683
43,male,0.72539
44,female,0.72496
45,female,0.72486
46,female,0.7219
47,male,0.72147
48,female,0.72075
49,female,0.71822
50,female,0.71626
51,female,0.71573
52,female,0.71569
53,female,0.712
54,female,0.71009
55,female,0.70746
56,female,0.70244
57,male,0.70177
58,female,0.69867
59,female,0.6958
60,female,0.69336
61,male,0.68757
62,male,0.68753
63,female,0.68753
64,female,0.68542
65,female,0.68318
66,male,0.68026
67,female,0.67228
68,female,0.66893
69,female,0.66195
70,female,0.66195
71,female,0.65636
72,female,0.64378
73,female,0.64264
74,male,0.64111
75,male,0.63833
76,male,0.63828
77,female,0.63279
78,female,0.63279
79,male,0.62676
80,female,0.59774
81,female,0.59727
82,male,0.59043
83,female,0.5801
84,male,0.57814
85,female,0.57623
86,female,0.57585
87,female,0.57312
88,male,0.57236
89,male,0.567
90,male,0.56528
91,male,0.56366
92,female,0.56203
93,female,0.53287
94,female,0.52536
95,female,0.52187
96,female,0.483
97,male,0.43907
98,male,0.43682
99,male,0.41215
100,male,0.35225
