Sample,Kendall Tau
1,1.0
10,1.0
11,0.3333333333333333
12,
13,1.0
14,1.0
15,1.0
16,-0.3333333333333333
17,-1.0
18,1.0
19,-0.3333333333333333
2,0.3333333333333333
20,-0.3333333333333333
21,
22,1.0
23,-0.3333333333333333
24,-0.3333333333333333
25,0.3333333333333333
26,-0.3333333333333333
27,1.0
28,-0.3333333333333333
29,0.3333333333333333
3,0.3333333333333333
30,-0.3333333333333333
31,0.3333333333333333
32,-0.3333333333333333
33,1.0
34,0.3333333333333333
35,0.3333333333333333
36,0.3333333333333333
37,1.0
38,
39,0.3333333333333333
4,-0.3333333333333333
40,0.3333333333333333
41,-0.3333333333333333
42,-0.3333333333333333
43,-1.0
44,0.3333333333333333
45,0.3333333333333333
46,
47,-0.3333333333333333
48,0.3333333333333333
49,0.3333333333333333
5,0.3333333333333333
50,-0.3333333333333333
6,-1.0
7,0.3333333333333333
8,0.3333333333333333
9,-0.3333333333333333
