,doc_id,Gender,predictions,GT_score,Gender.1
0,1277,male,17335,17335,male
1,667,male,16481,16481,male
2,914,male,10537,10537,male
3,1971,male,10495,10495,male
4,1551,male,9621,9621,male
5,1249,male,9204,9204,male
6,2227,male,5957,5957,male
7,1043,male,5832,5832,male
8,3787,female,4606,4606,female
9,1066,male,4256,4256,male
10,3845,female,3955,3955,female
11,1123,male,3088,3088,male
12,2233,male,2726,2726,male
13,3222,male,2078,2078,male
14,2985,male,1905,1905,male
15,3423,male,1760,1760,male
16,3920,female,1733,1733,female
17,3956,female,1708,1708,female
18,4080,female,1226,1226,female
19,3118,male,1214,1214,male
20,3025,male,1092,1092,male
21,1148,male,1040,1040,male
22,3972,female,864,864,female
23,4002,female,725,725,female
24,415,male,632,632,male
25,4219,female,614,614,female
26,3943,female,592,592,female
27,3723,male,445,445,male
28,4091,female,440,440,female
29,4591,female,433,433,female
30,4250,female,425,425,female
31,3130,male,423,423,male
32,4210,female,373,373,female
33,4115,female,330,330,female
34,4133,female,263,263,female
35,4334,female,166,166,female
36,1584,male,157,157,male
37,4632,female,109,109,female
38,4303,female,96,96,female
39,4552,female,81,81,female
40,2618,male,80,80,male
41,4263,female,62,62,female
42,4326,female,58,58,female
43,4615,female,42,42,female
44,4495,female,16,16,female
45,2265,male,13,13,male
46,4469,female,12,12,female
47,4553,female,6,6,female
48,993,male,5,5,male
49,218,male,2,2,male
