Gender,Career Points
M,9161
M,145
M,5124
M,2079
M,31852
M,11456
M,13892
M,4410
M,19655
M,3640
M,451
M,2376
M,3082
M,24
M,269
M,11274
M,16
M,98
M,12065
M,21
M,5063
M,10862
M,1658
M,409
M,6249
M,3088
M,459
M,17287
M,30
M,1482
M,178
M,960
M,10513
M,63
M,244
M,6
M,1478
M,9578
M,28
M,1975
M,176
M,12984
M,7729
M,7777
M,7615
M,99
M,175
M,980
M,26
M,6118
M,1040
M,232
M,76
M,1410
M,1219
M,1470
M,69
M,118
M,4811
M,1482
M,1257
M,1546
M,12503
M,4641
M,16742
M,44
M,4476
M,520
M,202
M,856
M,9059
M,4541
M,83
M,184
M,616
M,14607
M,315
M,19760
M,13748
M,745
M,8868
M,359
M,4918
M,5458
M,194
M,6901
M,2320
M,21791
M,56
M,3554
M,12713
M,3521
M,464
M,68
M,6
M,6529
M,316
M,10
M,976
M,1208
M,157
M,4614
M,334
M,8894
M,336
M,15331
M,1396
M,350
M,8071
M,5453
M,1290
M,27
M,17707
M,12369
M,1643
M,3298
M,82
M,3
M,3898
M,16
M,6684
M,1788
M,160
M,3268
M,11931
M,11995
M,40
M,180
M,875
M,4084
M,12081
M,2505
M,55
M,506
M,3327
M,17
M,14
M,59
M,8
M,4
M,4086
M,2
M,1881
M,14192
M,3157
M,471
M,94
M,3914
M,6327
M,4188
M,6
M,9204
M,8156
M,15
M,712
M,60
M,855
M,13248
M,12391
M,5414
M,193
M,613
M,1099
M,2
M,34
M,3974
M,4276
M,68
M,198
M,236
M,30
M,14508
M,12
M,1816
M,5259
M,7763
M,4781
M,17
M,4
M,17335
M,16
M,4898
M,752
M,156
M,1482
M,115
M,3355
M,1464
M,5545
M,5
M,4
M,55
M,5380
M,334
M,190
M,643
M,2135
M,224
M,240
M,4475
M,5904
M,8880
M,25
M,285
M,7458
M,84
M,16479
M,34
M,404
M,692
M,547
M,3927
M,12349
M,239
M,19969
M,13245
M,2
M,5305
M,17623
M,226
M,137
M,347
M,391
M,619
M,5
M,46
M,242
M,20049
M,199
M,2676
M,268
M,73
M,452
M,43
M,1802
M,693
M,7
M,685
M,890
M,224
M,4937
M,8231
M,6470
M,2103
M,2
M,6441
M,5199
M,923
M,1030
M,21
M,763
M,5543
M,1320
M,17765
M,4889
M,347
M,287
M,5242
M,5763
M,9777
M,219
M,873
M,18822
M,1602
M,12142
M,2397
M,5856
M,1000
M,9192
M,2613
M,16784
M,12859
M,132
M,5356
M,144
M,14321
M,33
M,21
M,1231
M,2708
M,5802
M,188
M,4597
M,29
M,19927
M,7470
M,5216
M,1132
M,932
M,422
M,261
M,14027
M,1638
M,19
M,1684
M,7109
M,7098
M,3035
M,62
M,41
M,4918
M,432
M,10433
M,5888
M,10
M,12
M,1092
M,15
M,1550
M,300
M,819
M,152
M,16724
M,1060
M,7664
M,101
M,548
M,5748
M,1967
M,395
M,225
M,5800
M,1297
M,179
M,95
M,8157
M,561
M,122
M,8875
M,593
M,265
M,6236
M,904
M,2573
M,28591
M,147
M,1319
M,16320
M,2
M,12
M,12785
M,5321
M,364
M,351
M,223
M,218
M,166
M,2461
M,23848
M,7492
M,20039
M,1562
M,131
M,101
M,316
M,5173
M,4125
M,16797
M,8384
M,3311
M,30
M,2099
M,56
M,4
M,590
M,18679
M,668
M,9014
M,224
M,541
M,4
M,5560
M,20
