doc_id,Gender,predictions,GT_score,Gender
243,male,0.90534,0.90534,male
291,male,0.90166,0.90166,male
4373,female,0.80188,0.80188,female
676,male,0.87924,0.87924,male
4688,female,0.79768,0.79768,female
4771,female,0.79653,0.79653,female
931,male,0.86896,0.86896,male
7359,female,0.76574,0.76574,female
1207,male,0.86074,0.86074,male
7937,female,0.75962,0.75962,female
8054,female,0.75833,0.75833,female
1392,male,0.85696,0.85696,male
8126,female,0.75757,0.75757,female
1524,male,0.85361,0.85361,male
8192,female,0.75694,0.75694,female
8370,female,0.75508,0.75508,female
1575,male,0.85199,0.85199,male
8482,female,0.75384,0.75384,female
1656,male,0.84979,0.84979,male
8696,female,0.75159,0.75159,female
9921,female,0.73902,0.73902,female
2113,male,0.83932,0.83932,male
10878,female,0.72926,0.72926,female
2525,male,0.83114,0.83114,male
11925,female,0.71932,0.71932,female
12008,female,0.71855,0.71855,female
3523,male,0.81479,0.81479,male
12116,female,0.71769,0.71769,female
3727,male,0.81178,0.81178,male
12306,female,0.71612,0.71612,female
12876,female,0.71062,0.71062,female
3856,male,0.80958,0.80958,male
13327,female,0.70612,0.70612,female
4411,male,0.80131,0.80131,male
13469,female,0.7045,0.7045,female
13655,female,0.70297,0.70297,female
4618,male,0.79849,0.79849,male
13675,female,0.70278,0.70278,female
5611,male,0.78525,0.78525,male
13741,female,0.70211,0.70211,female
14003,female,0.69953,0.69953,female
6003,male,0.78061,0.78061,male
14397,female,0.6957,0.6957,female
7095,male,0.76885,0.76885,male
14514,female,0.69451,0.69451,female
15112,female,0.68863,0.68863,female
7543,male,0.76388,0.76388,male
15111,female,0.68863,0.68863,female
7764,male,0.76153,0.76153,male
15540,female,0.68428,0.68428,female
16041,female,0.67773,0.67773,female
7819,male,0.76086,0.76086,male
16206,female,0.67548,0.67548,female
8055,male,0.75828,0.75828,male
16639,female,0.6696,0.6696,female
17000,female,0.66472,0.66472,female
8314,male,0.75556,0.75556,male
17143,female,0.66252,0.66252,female
8348,male,0.75522,0.75522,male
17170,female,0.66195,0.66195,female
17312,female,0.65985,0.65985,female
9347,male,0.74475,0.74475,male
17665,female,0.65468,0.65468,female
9927,male,0.73897,0.73897,male
17755,female,0.65339,0.65339,female
17840,female,0.6522,0.6522,female
10802,male,0.72998,0.72998,male
21809,female,0.57843,0.57843,female
11008,male,0.72807,0.72807,male
21835,female,0.57781,0.57781,female
22501,female,0.55859,0.55859,female
11876,male,0.7197,0.7197,male
22918,female,0.54692,0.54692,female
12300,male,0.71616,0.71616,male
22946,female,0.54606,0.54606,female
23649,female,0.52154,0.52154,female
13490,male,0.7044,0.7044,male
23901,female,0.51284,0.51284,female
13546,male,0.70383,0.70383,male
23920,female,0.51174,0.51174,female
24803,female,0.46847,0.46847,female
13942,male,0.7001,0.7001,male
26136,female,0.35861,0.35861,female
14860,male,0.69106,0.69106,male
26334,female,0.32897,0.32897,female
15590,male,0.6838,0.6838,male
16465,male,0.67199,0.67199,male
18307,male,0.64512,0.64512,male
20179,male,0.61414,0.61414,male
20465,male,0.60845,0.60845,male
20707,male,0.60367,0.60367,male
20800,male,0.60166,0.60166,male
21975,male,0.57403,0.57403,male
22104,male,0.57073,0.57073,male
22441,male,0.56036,0.56036,male
24123,male,0.50356,0.50356,male
24262,male,0.49625,0.49625,male
24990,male,0.45738,0.45738,male
25393,male,0.43223,0.43223,male
25412,male,0.4307,0.4307,male
