Run,Kendall Tau,NDKL,Average Exposure
0,1.0,0.16095992550229837,0.7501304527906257
1,0.846530612244898,0.36668214804472915,0.6410663526794387
2,0.5575510204081633,0.34158767298966153,0.6472215672450058
3,0.9314285714285714,0.3039733058460181,0.658881566952731
4,0.8187755102040817,0.31478517251080645,0.6580066320151783
5,0.4383673469387755,0.4397944264976545,0.6039728593535502
6,0.4873469387755102,0.30167144397746104,0.6540239956214363
7,0.5657142857142857,0.37249378490280416,0.6218636251716727
8,0.8269387755102041,0.33801184428374526,0.6461747218484195
9,0.8187755102040817,0.25172154357058746,0.7016615144017742
