,doc_id,Gender,predictions,GT_score,Gender.1
0,509,male,17490,17490,male
1,731,male,14018,14018,male
2,914,male,10537,10537,male
3,1482,male,10399,10399,male
4,3357,male,9538,9538,male
5,896,male,8953,8953,male
6,1456,male,8384,8384,male
7,1047,male,8049,8049,male
8,1218,male,6684,6684,male
9,2080,male,5946,5946,male
10,1037,male,5612,5612,male
11,2982,male,4637,4637,male
12,3405,male,3013,3013,male
13,3796,female,2898,2898,female
14,3909,female,2603,2603,female
15,326,male,2206,2206,male
16,3833,female,1963,1963,female
17,3986,female,1358,1358,female
18,4007,female,1215,1215,female
19,4016,female,1010,1010,female
20,1716,male,932,932,male
21,1167,male,856,856,male
22,3252,male,645,645,male
23,163,male,641,641,male
24,4173,female,620,620,female
25,4099,female,558,558,female
26,1017,male,370,370,male
27,285,male,337,337,male
28,4484,female,324,324,female
29,4112,female,303,303,female
30,4150,female,253,253,female
31,4222,female,247,247,female
32,1296,male,240,240,male
33,3402,male,233,233,male
34,1999,male,198,198,male
35,4174,female,92,92,female
36,4680,female,85,85,female
37,1214,male,82,82,male
38,4298,female,74,74,female
39,4708,female,73,73,female
40,4392,female,50,50,female
41,4438,female,50,50,female
42,4648,female,49,49,female
43,4435,female,48,48,female
44,4454,female,33,33,female
45,3635,male,23,23,male
46,4495,female,16,16,female
47,4445,female,14,14,female
48,4579,female,12,12,female
49,4504,female,9,9,female
