doc_id,Gender,predictions,GT_score,Gender
210,male,0.90926,0.90926,male
306,male,0.90061,0.90061,male
2372,female,0.83406,0.83406,female
8708,female,0.75145,0.75145,female
1432,male,0.8561,0.8561,male
10430,female,0.73376,0.73376,female
10725,female,0.73075,0.73075,female
1532,male,0.85347,0.85347,male
14959,female,0.69006,0.69006,female
15968,female,0.67883,0.67883,female
16151,female,0.67629,0.67629,female
1609,male,0.85098,0.85098,male
16698,female,0.66874,0.66874,female
17110,female,0.66295,0.66295,female
1995,male,0.84171,0.84171,male
18950,female,0.63503,0.63503,female
19135,female,0.63226,0.63226,female
2962,male,0.82435,0.82435,male
20377,female,0.61022,0.61022,female
20748,female,0.60276,0.60276,female
21181,female,0.59368,0.59368,female
6083,male,0.77999,0.77999,male
23220,female,0.53703,0.53703,female
7740,male,0.76182,0.76182,male
8553,male,0.75302,0.75302,male
10740,male,0.73065,0.73065,male
12300,male,0.71616,0.71616,male
15767,male,0.68165,0.68165,male
20915,male,0.59937,0.59937,male
25133,male,0.44863,0.44863,male
