Run,Kendall Tau,NDKL,Average Exposure
0,0.6408163265306123,0.28684010278885563,0.6640192234346985
1,0.9951020408163266,0.21227382343303258,0.7583090100020612
2,0.9885714285714285,0.093842845175075,0.8358147888868931
3,0.3355102040816327,0.11319235773134502,1.266447765600867
4,0.3355102040816327,0.12801290895080683,1.2982790378569866
5,0.7306122448979592,0.09351015555797934,0.8314683407853641
6,0.9020408163265307,0.25111271247990796,0.7025553618742669
7,0.7583673469387755,0.17095868488841062,0.7511561647972387
8,0.37142857142857144,0.06539046670825349,1.0029291533489215
9,0.9836734693877551,0.19995829485958574,0.7708106795013677
