doc_id,Gender,Career Points
1277,male,17335
667,male,16481
914,male,10537
1971,male,10495
1551,male,9621
1249,male,9204
2227,male,5957
1043,male,5832
3787,female,4606
1066,male,4256
3845,female,3955
1123,male,3088
2233,male,2726
3222,male,2078
2985,male,1905
3423,male,1760
3920,female,1733
3956,female,1708
4080,female,1226
3118,male,1214
3025,male,1092
1148,male,1040
3972,female,864
4002,female,725
415,male,632
4219,female,614
3943,female,592
3723,male,445
4091,female,440
4591,female,433
4250,female,425
3130,male,423
4210,female,373
4115,female,330
4133,female,263
4334,female,166
1584,male,157
4632,female,109
4303,female,96
4552,female,81
2618,male,80
4263,female,62
4326,female,58
4615,female,42
4495,female,16
2265,male,13
4469,female,12
4553,female,6
993,male,5
218,male,2
