doc_id,Gender,Career Points
2181,male,18992
455,male,15063
1621,male,12670
486,male,12183
639,male,10831
1400,male,10433
948,male,10162
3774,female,6412
3831,female,5797
1477,male,5323
2806,male,5039
1933,male,4806
2360,male,4659
422,male,3978
3817,female,3424
3874,female,2136
1449,male,1562
3377,male,1544
1912,male,1502
4063,female,1143
1511,male,1125
4019,female,1087
1625,male,1014
1603,male,1008
4154,female,974
4130,female,884
4042,female,786
4111,female,703
3174,male,690
171,male,607
3982,female,600
4081,female,518
972,male,250
4277,female,193
4267,female,176
2641,male,158
4554,female,157
4109,female,150
4237,female,150
4378,female,146
4413,female,137
4603,female,100
1422,male,95
4711,female,70
592,male,48
4454,female,33
1233,male,17
4354,female,16
4512,female,6
4514,female,2
