Gender,score
male,0.90285
male,0.90276
male,0.90257
male,0.90257
male,0.90228
male,0.90223
female,0.90214
male,0.90199
male,0.90195
male,0.90185
male,0.90175
male,0.90171
male,0.90166
male,0.90166
male,0.90156
male,0.90152
male,0.90147
male,0.90142
male,0.90137
male,0.90128
male,0.90128
male,0.90123
male,0.90113
male,0.90109
male,0.90104
female,0.90104
male,0.90094
male,0.90085
male,0.90061
male,0.90022
male,0.90018
male,0.90008
male,0.89994
male,0.89989
male,0.89984
male,0.89984
male,0.89984
male,0.89975
male,0.89975
male,0.89975
male,0.8997
male,0.89951
male,0.89951
male,0.89927
male,0.89898
male,0.89889
male,0.89884
male,0.89874
male,0.89869
male,0.8985
male,0.8985
male,0.89836
male,0.89826
male,0.89803
male,0.89798
male,0.89793
male,0.89774
male,0.89745
male,0.89745
male,0.89745
male,0.89736
male,0.89731
male,0.89721
male,0.89721
male,0.89702
male,0.89693
male,0.89688
male,0.89683
male,0.89683
male,0.89683
male,0.89673
male,0.89669
female,0.89664
male,0.89659
male,0.89645
male,0.89645
male,0.8964
male,0.8964
male,0.8964
male,0.89635
female,0.8963
male,0.89626
male,0.89616
male,0.89597
male,0.89592
male,0.89573
male,0.89568
male,0.89564
male,0.89559
male,0.8954
male,0.8952
male,0.89511
female,0.89497
male,0.89492
male,0.89487
male,0.89473
male,0.89468
male,0.89463
male,0.89458
male,0.89458
male,0.89454
male,0.89444
male,0.89434
male,0.8943
male,0.89411
male,0.89406
male,0.89396
male,0.89396
male,0.89377
male,0.89372
male,0.89353
male,0.89339
male,0.89334
male,0.89329
male,0.89324
male,0.89315
male,0.8931
male,0.8931
male,0.89296
male,0.89296
male,0.89281
female,0.89277
male,0.89267
male,0.89262
male,0.89262
male,0.89262
male,0.89248
male,0.89243
male,0.8921
male,0.89205
male,0.892
male,0.89191
male,0.89191
male,0.89191
male,0.89176
male,0.89162
male,0.89152
male,0.89148
male,0.89143
male,0.89143
male,0.89133
male,0.89128
female,0.89128
male,0.89124
male,0.89119
male,0.89119
male,0.89109
male,0.89105
male,0.89105
male,0.89085
male,0.89081
male,0.89081
male,0.89076
male,0.89071
male,0.89066
male,0.89066
male,0.89047
male,0.89033
female,0.89019
male,0.89009
male,0.89004
male,0.89004
male,0.88995
male,0.88995
male,0.88975
male,0.88975
male,0.88961
female,0.88961
male,0.88928
male,0.88918
male,0.88909
male,0.88904
male,0.88894
male,0.8887
male,0.8887
male,0.88861
male,0.88856
male,0.88851
male,0.88837
male,0.88837
male,0.88832
male,0.88827
male,0.88822
male,0.88818
male,0.88808
male,0.88794
male,0.88794
female,0.88789
male,0.88775
male,0.88765
male,0.88765
female,0.8876
male,0.8876
male,0.88756
male,0.88751
male,0.88736
male,0.88722
male,0.88717
male,0.88708
male,0.88708
male,0.88703
male,0.88693
male,0.88693
male,0.88684
male,0.88679
male,0.8867
male,0.88665
male,0.8866
male,0.88655
male,0.88655
male,0.88636
male,0.88622
male,0.88622
male,0.88622
male,0.88622
male,0.88603
male,0.88603
male,0.88588
male,0.88588
male,0.88588
male,0.88588
male,0.88579
male,0.88574
male,0.88574
male,0.88555
male,0.88545
female,0.8854
male,0.88536
male,0.88531
male,0.88531
male,0.88526
male,0.88521
male,0.88521
male,0.88521
male,0.88517
male,0.88512
male,0.88512
male,0.88512
male,0.88502
male,0.88502
male,0.88502
male,0.88497
male,0.88493
male,0.88473
male,0.88464
male,0.88464
male,0.88459
male,0.88445
male,0.88435
male,0.8843
male,0.88416
male,0.88416
male,0.88416
male,0.88411
male,0.88397
male,0.88387
male,0.88387
male,0.88387
male,0.88387
male,0.88383
male,0.88378
female,0.88364
male,0.88359
male,0.88325
male,0.88321
male,0.88316
male,0.88306
female,0.88306
male,0.88301
male,0.88292
male,0.88277
male,0.88273
male,0.88263
male,0.88254
male,0.88244
male,0.88239
male,0.8823
male,0.8822
male,0.88211
male,0.88211
male,0.88206
male,0.88206
male,0.88201
male,0.88201
male,0.88196
male,0.88191
male,0.88191
male,0.88187
male,0.88182
male,0.88177
male,0.88177
male,0.88148
male,0.88148
male,0.88148
male,0.88144
male,0.88139
male,0.88134
male,0.88129
male,0.88115
male,0.88105
male,0.88105
male,0.88105
male,0.88081
male,0.88081
male,0.88077
male,0.88062
male,0.88053
male,0.88048
male,0.88048
male,0.88043
male,0.88043
male,0.88038
male,0.88034
male,0.8801
male,0.88005
male,0.88005
male,0.87995
male,0.87986
male,0.87981
male,0.87972
male,0.87962
male,0.87962
male,0.87948
male,0.87943
male,0.87938
male,0.87938
male,0.87933
male,0.87924
male,0.87919
male,0.87919
male,0.87914
male,0.87909
male,0.87909
female,0.87909
male,0.879
male,0.8789
male,0.8789
male,0.87881
male,0.87857
male,0.87852
male,0.87838
male,0.87833
male,0.87833
male,0.87823
male,0.87823
male,0.87809
male,0.87799
male,0.87795
female,0.8779
male,0.8778
male,0.8778
male,0.87775
male,0.87766
male,0.87761
male,0.87761
male,0.87756
male,0.87752
male,0.87752
male,0.87713
male,0.87709
male,0.87709
male,0.87704
male,0.87699
male,0.87699
male,0.87694
male,0.87689
male,0.87689
male,0.87685
male,0.87685
male,0.87685
male,0.8768
male,0.87675
male,0.87675
male,0.8767
male,0.87661
male,0.87661
male,0.87632
male,0.87627
male,0.87623
male,0.87618
male,0.87618
male,0.87608
male,0.87603
male,0.87599
male,0.87599
male,0.87599
female,0.87594
male,0.87589
male,0.87589
male,0.87584
male,0.87579
male,0.8757
male,0.8757
male,0.87565
male,0.8756
male,0.87556
male,0.87551
male,0.87546
male,0.87536
male,0.87536
female,0.87536
male,0.87536
male,0.87536
male,0.87532
male,0.87532
male,0.87527
male,0.87517
male,0.87503
male,0.87498
male,0.87493
male,0.87489
male,0.87474
male,0.8747
male,0.8746
male,0.87455
male,0.87446
male,0.87446
male,0.87426
male,0.87417
male,0.87417
male,0.87417
male,0.87412
male,0.87407
male,0.87407
male,0.87407
male,0.87393
male,0.87388
male,0.87388
male,0.87388
male,0.87374
female,0.8736
male,0.87355
male,0.8735
male,0.8735
male,0.8734
male,0.87336
male,0.87336
male,0.87326
male,0.87321
male,0.87321
male,0.87307
male,0.87302
male,0.87297
male,0.87288
male,0.87283
male,0.87274
male,0.87269
male,0.87259
male,0.87259
male,0.8725
male,0.8725
male,0.87235
male,0.87226
male,0.87216
male,0.87211
female,0.87207
male,0.87202
female,0.87192
male,0.87187
male,0.87187
