Run,Kendall Tau,NDKL,Average Exposure
0,0.8008163265306123,0.05727869352456925,0.9178096536326554
1,0.7681632653061224,0.09559734082128826,0.8723351395630187
2,0.8514285714285714,0.05729189082439874,0.9186481236246467
3,0.7583673469387755,0.05729068386999992,0.9185972622876989
4,0.7795918367346939,0.05727869352456925,0.9419819433584758
5,0.9102040816326531,0.059253706922312174,0.9710656290025398
6,0.7746938775510204,0.1387068581722693,1.1539126436728777
7,0.8824489795918368,0.05731711758892581,0.9391486361856543
8,0.7355102040816327,0.058550540132529465,0.9563491154979085
9,0.9216326530612244,0.05755941401381702,0.9149423056478516
