doc_id,Gender,score
229,male,0.90649
284,male,0.90195
343,male,0.89745
357,male,0.89673
496,male,0.88822
666,male,0.87981
702,male,0.87823
722,male,0.87709
900,male,0.86991
1040,male,0.86528
2058,male,0.84061
2186,male,0.83774
2937,male,0.82483
2983,male,0.82411
3023,male,0.8234
4297,male,0.80313
4472,male,0.80045
4561,female,0.7994
4754,male,0.79677
4946,female,0.79423
5823,male,0.78262
6497,female,0.7754
6820,female,0.77186
6913,female,0.77105
6956,female,0.77052
7097,female,0.76885
7420,female,0.76498
7621,male,0.76297
8948,female,0.7491
8965,male,0.74891
8994,male,0.74863
9046,male,0.7481
9409,male,0.74408
9810,female,0.74016
10083,male,0.7372
10396,female,0.73414
10572,male,0.73223
10798,female,0.73003
10981,male,0.72831
10998,female,0.72816
11011,male,0.72807
11412,female,0.72439
13162,male,0.70785
13258,male,0.70684
13526,male,0.70407
14022,female,0.69938
14092,female,0.69876
14254,female,0.69723
14344,female,0.69632
14405,female,0.69565
15037,female,0.68939
15650,female,0.68308
15804,female,0.68117
15834,female,0.68074
15835,male,0.68074
15900,female,0.67973
15999,female,0.6783
16350,male,0.67338
16483,male,0.67185
16502,female,0.67161
16986,female,0.66501
17194,male,0.66166
17429,male,0.65827
17874,female,0.65181
17901,female,0.65143
18073,female,0.64895
18350,male,0.64445
18453,female,0.64307
18456,female,0.64302
18558,male,0.64144
18691,male,0.6391
19172,female,0.63183
19182,female,0.63173
19207,male,0.63135
20170,male,0.61438
20924,male,0.59908
21126,male,0.59511
21682,male,0.58149
22345,male,0.5637
22386,female,0.56213
22460,female,0.55998
23071,male,0.54205
23153,female,0.53937
23406,female,0.53019
23903,female,0.51274
23987,female,0.50892
24215,female,0.49888
24334,female,0.49328
24816,male,0.46794
25203,male,0.4438
25624,female,0.41354
25696,female,0.40785
25738,female,0.40307
25742,female,0.40269
25805,female,0.39657
25892,female,0.38734
25918,male,0.38395
25989,female,0.37472
26028,female,0.37075
26245,male,0.34489
